code_pra,ratio,valeur
01195,r1_sau_surf,0.5814718229674665
01198,r1_sau_surf,0.5407241296274478
01201,r1_sau_surf,0.48526275945975433
01215,r1_sau_surf,0.30030183616246875
01446,r1_sau_surf,0.6126666692102304
01449,r1_sau_surf,0.24682699700811986
01451,r1_sau_surf,0.3102699315287934
02034,r1_sau_surf,0.8052354027816299
02317,r1_sau_surf,0.6649294416876562
02323,r1_sau_surf,0.7432861303379539
02328,r1_sau_surf,0.5508532486400026
02329,r1_sau_surf,0.6026333119697737
02336,r1_sau_surf,0.627996522201528
03178,r1_sau_surf,0.67588360842652
03425,r1_sau_surf,0.5745872089858837
03426,r1_sau_surf,0.6633243438759455
03428,r1_sau_surf,0.671893930803847
03429,r1_sau_surf,0.6873533430552206
04233,r1_sau_surf,0.39835540410267883
04459,r1_sau_surf,0.48459818844159225
04460,r1_sau_surf,0.42134495691986856
04462,r1_sau_surf,0.43801893654142443
05235,r1_sau_surf,0.5748381448903601
11472,r1_sau_surf,0.38524736767315465
15167,r1_sau_surf,0.7412287169357706
15409,r1_sau_surf,0.5319337368261469
05463,r1_sau_surf,0.3403445642340281
06245,r1_sau_surf,0.18634569023784017
06249,r1_sau_surf,0.061125671075801115
06250,r1_sau_surf,0.2756004246965085
07171,r1_sau_surf,0.2592085180549882
07422,r1_sau_surf,0.21828471105789893
07425,r1_sau_surf,0.1955033682530957
07465,r1_sau_surf,0.1900749650656676
08021,r1_sau_surf,0.1889442342965361
08022,r1_sau_surf,0.6358098211628133
08315,r1_sau_surf,0.5833879839861458
08317,r1_sau_surf,0.8669227821005135
08323,r1_sau_surf,0.651390381325162
09390,r1_sau_surf,0.6874469852363735
09392,r1_sau_surf,0.6009515548588332
09393,r1_sau_surf,0.41869543450893093
09472,r1_sau_surf,0.5801845335734077
10011,r1_sau_surf,0.5339474074915372
10013,r1_sau_surf,0.7941093158496025
13468,r1_sau_surf,0.22591550657265239
14085,r1_sau_surf,0.7605494171285466
14353,r1_sau_surf,0.5596637262278145
14354,r1_sau_surf,0.6944669226358124
14355,r1_sau_surf,0.6831220708836246
16112,r1_sau_surf,0.5126154059969396
16113,r1_sau_surf,0.5971543800034586
16367,r1_sau_surf,0.7855209797203395
16377,r1_sau_surf,0.6363450727377215
16432,r1_sau_surf,0.5951567585233806
16438,r1_sau_surf,0.7872325275870479
17111,r1_sau_surf,0.6493919085948614
17369,r1_sau_surf,0.8622168408000073
18439,r1_sau_surf,0.6320326920301651
19408,r1_sau_surf,0.4058888340073002
19409,r1_sau_surf,0.38658025732900136
19421,r1_sau_surf,0.32277435138477845
19430,r1_sau_surf,0.33603677013832056
19432,r1_sau_surf,0.5181184370489487
19433,r1_sau_surf,0.27531359041768777
21010,r1_sau_surf,0.3665736354512286
22362,r1_sau_surf,0.6467280006463147
23428,r1_sau_surf,0.6991942990518513
23430,r1_sau_surf,0.32868243237947353
26234,r1_sau_surf,0.2929373285214333
26240,r1_sau_surf,0.4158382876129218
26463,r1_sau_surf,0.2646494136022306
26464,r1_sau_surf,0.29289741648653905
27044,r1_sau_surf,0.7580897744055746
26242,r1_sau_surf,0.4367031037364514
26243,r1_sau_surf,0.34089843914085277
26453,r1_sau_surf,0.3045887113472633
27052,r1_sau_surf,0.6049155610247092
27077,r1_sau_surf,0.6441966816641116
27078,r1_sau_surf,0.7208513379030803
27079,r1_sau_surf,0.6130770250841834
27080,r1_sau_surf,0.5761820186591309
27352,r1_sau_surf,0.5712128251326588
27353,r1_sau_surf,0.7622858350480077
28076,r1_sau_surf,0.7579670068007098
28334,r1_sau_surf,0.684421355012083
28341,r1_sau_surf,0.8781814939066278
28342,r1_sau_surf,0.8353539058233332
28351,r1_sau_surf,0.6458092643377245
27332,r1_sau_surf,0.26477780330115425
32388,r1_sau_surf,0.6015899904257517
33114,r1_sau_surf,0.49373967351134374
33121,r1_sau_surf,0.4519469397165093
33122,r1_sau_surf,0.23667062376891906
29103,r1_sau_surf,0.40807763329318825
29358,r1_sau_surf,0.6018886365785833
29360,r1_sau_surf,0.4439553402364117
29361,r1_sau_surf,0.5978530879874371
29362,r1_sau_surf,0.6249413764872996
29363,r1_sau_surf,0.5273770751226654
2A258,r1_sau_surf,0.313247269709404
2A259,r1_sau_surf,0.2547932568745494
2A260,r1_sau_surf,0.23801795609915682
2B258,r1_sau_surf,0.3489112332795417
2B259,r1_sau_surf,0.3633298195224437
2B260,r1_sau_surf,0.4040581027462105
30410,r1_sau_surf,0.11529151563191978
33128,r1_sau_surf,0.4851573928499314
30416,r1_sau_surf,0.2816566404543065
32383,r1_sau_surf,0.6931692494207018
33118,r1_sau_surf,0.5214377974725367
33119,r1_sau_surf,0.32971148867791694
27051,r1_sau_surf,0.6310932251014907
33137,r1_sau_surf,0.07682774579251454
33376,r1_sau_surf,0.1957927111273802
33378,r1_sau_surf,0.07354553488685507
34412,r1_sau_surf,0.1973867959246898
34414,r1_sau_surf,0.7723323844313432
34415,r1_sau_surf,0.2927219541019785
34416,r1_sau_surf,0.30757370994883654
34470,r1_sau_surf,0.3346716113817644
34471,r1_sau_surf,0.4166697907484115
35097,r1_sau_surf,0.6278280698846237
41435,r1_sau_surf,0.4284804582435734
42168,r1_sau_surf,0.2971651920742619
42170,r1_sau_surf,0.3212838122001273
42189,r1_sau_surf,0.6632915559678844
42190,r1_sau_surf,0.7044187916924209
37344,r1_sau_surf,0.33074617678471924
37346,r1_sau_surf,0.5388293612313454
37348,r1_sau_surf,0.6570671487338446
37435,r1_sau_surf,0.6009581396971847
38199,r1_sau_surf,0.4925962065724589
38217,r1_sau_surf,0.26974898234020706
38453,r1_sau_surf,0.29349462330791115
38457,r1_sau_surf,0.3664800573672347
38465,r1_sau_surf,0.41519202465869737
39207,r1_sau_surf,0.421125160109413
40133,r1_sau_surf,0.34232461816293625
47398,r1_sau_surf,0.6981512424395776
47399,r1_sau_surf,0.5700160184405634
47400,r1_sau_surf,0.49496405658528364
40378,r1_sau_surf,0.1365614014625351
58185,r1_sau_surf,0.5576176567068043
58188,r1_sau_surf,0.5611501690279012
40382,r1_sau_surf,0.5212604942493606
40387,r1_sau_surf,0.6340479821403207
40388,r1_sau_surf,0.4265409611086142
64140,r1_sau_surf,0.6419061232987705
64141,r1_sau_surf,0.5004991426917652
64142,r1_sau_surf,0.496378173737973
42192,r1_sau_surf,0.376556780776456
44104,r1_sau_surf,0.6876702776846813
44105,r1_sau_surf,0.615345199122528
44106,r1_sau_surf,0.5419582502296907
44108,r1_sau_surf,0.571844304747811
44356,r1_sau_surf,0.66272573126394
44363,r1_sau_surf,0.6282448486541548
44364,r1_sau_surf,0.3644290157055034
44373,r1_sau_surf,0.6207140455828898
45063,r1_sau_surf,0.2664702205089257
